,Date Created,Tweets
0,2023-02-11 18:13:57+00:00,".@ZelenskyyUa quote on the cover of @derspiegel 
""Putin is a Dragon, he needs to devour."" 
Dragons eat people. 
To survive, people must eat the Dragon instead.
#UAarmy offers a recipe for ""dragon meat à l'ukrainienne"". https://t.co/dsKGu3CHmS"
1,2023-02-11 11:55:41+00:00,"During another drone attack, 20 Shahed-136/131 UAVs were shot down by #UAarmy. https://t.co/zYYYPzQmht"
2,2023-02-11 10:54:54+00:00,"You don't see this direct connection?
Come to Ukraine and find out! 
It is in your power to stop the promotion of terrorism on the world's premier sporting arena. It is in our power to stop terrorists on the battlefield. https://t.co/zUMj0CXizC"
3,2023-02-11 09:33:45+00:00,"""This is what you'll get
This is what you'll get
This is what you'll get
When you mess with us""
Radiohead

Total combat losses of the enemy from Feb 24 to Feb 11: https://t.co/CMdtbrx6vA"
4,2023-02-10 17:05:37+00:00,"While a downed Shahed falls in this video, you have a chance to make a wish. https://t.co/SIWLXcTHuk"
5,2023-02-10 13:19:28+00:00,"Since yesterday evening russian terrorists have attacked Ukraine with 71 cruise missiles.
61 were shot down by our air defenses.
@CinC_AFU 
@KpsZSU"
6,2023-02-10 10:40:00+00:00,"During last night’s attack, 5 out of 6 Kalibr missiles and 5 out of 7 Shahed-136/131 drones were shot down. Up to 35 S-300 guided anti-aircraft missiles were launched at Kharkiv and Zaporizhzhia regions.
@KpsZSU"
7,2023-02-10 10:14:40+00:00,".@CinC_AFU
Today, on 10th of February, at 10:18 a.m., two russian Kalibr cruise missiles crossed the state border of Ukraine with the Republic of Moldova. At approximately 10:33 a.m., these missiles crossed Romanian airspace. After that, they again entered the airspace of Ukraine"
8,2023-02-10 09:40:00+00:00,"""Dignity does not consist in possessing honors, but in the consciousness that we deserve them.""
Aristotle

Total combat losses of the enemy from Feb 24 to Feb 10: https://t.co/F7mtH5dsGg"
9,2023-02-10 08:39:00+00:00,"It won’t be back. 
The much-ballyhooed newest russian tank support fighting vehicle ""Terminator"" has been destroyed near Kreminna. 
It burned just as any other russian IFV. https://t.co/qQsNu7KEAF"
10,2023-02-10 07:38:00+00:00,"russian defense minister Shoigu: ""Currently, combat operations in the Vuhledar area are going successfully.""

So true. https://t.co/oCxcRRwK2l"
11,2023-02-10 06:37:50+00:00,"Always ready!
Always first!

📷 71st Jaeger Brigade https://t.co/hecp2euGik"
12,2023-02-09 10:41:14+00:00,"""Winter"" in the Donetsk region. 
The artillery part is performed by PzH 2000 of 43rd Artillery Brigade. https://t.co/iJW8Q9PHaZ"
13,2023-02-09 09:00:02+00:00,"""I believe that if one always looked at the skies, one would end up with wings.""
Gustave Flaubert
#wingsforfreedom 

Total combat losses of the enemy from Feb 24 to Feb 9: https://t.co/lq7NaEVp29"
14,2023-02-09 07:59:00+00:00,"These are photos of future Olympic athletes, not rapists, murderers and looters. Just so there isn’t any confusion. https://t.co/v82lfKYhoG"
15,2023-02-09 06:59:43+00:00,"Wings for Ukraine. 
Wings for Freedom. https://t.co/DUZ7dUvz7q"
16,2023-02-08 23:24:00+00:00,Ally’s dilemma: good vs. very good. https://t.co/kIrr72A20h
17,2023-02-08 22:55:55+00:00,– That’s really cool! https://t.co/USaUNScMN2
18,2023-02-08 18:43:41+00:00,"Every day, every hour, the Challenger 2 tanks and their crews from the #UAarmy are getting prepared to travel to Ukraine. 
They have a lot of work ahead of them.

📷 @SkyNews https://t.co/j1JaTXxgil"
19,2023-02-08 16:39:38+00:00,".@ZelenskyyUa 
In Britain the King is an air force pilot. And in Ukraine today every air force pilot is a king.

We have freedom. Give us wings to protect it. https://t.co/uENz5TPzqV"
20,2023-02-08 13:39:54+00:00,He also wants to train in the UK to become a pilot. But there is a tough selection process ahead. https://t.co/XXU1KkNIKb
21,2023-02-08 12:46:53+00:00,"“Invaders must die
Invaders must die”
The Prodigy
@the_prodigy 

Total combat losses of the enemy from Feb 24 to Feb 8: https://t.co/ISAY1Tsum5"
22,2023-02-07 21:52:14+00:00,"When HIMARS says «Good night!», it usually means «Farewell!». https://t.co/JL1nufyjVk"
23,2023-02-07 20:01:37+00:00,"@Forsvarsmin Thank you!
The Tank Coalition will ensure peace and stability in Europe.
🇺🇦🤝🇩🇰"
24,2023-02-07 19:50:37+00:00,An optical illusion? Or a Ukrainian AT-AP (All-Terrain Attack Pod) successfully destroying the drone army of the russian federation? https://t.co/APkKDUTFPw
25,2023-02-07 13:54:12+00:00,"Bizhan Sharopov, a young PhD neurobiologist and professor at the Kyiv-Mohyla Academy, gave his life for humanity’s highest value - Freedom.
After the full-scale war started, he went to defend our country. Bizhan was reported missing last April. A DNA test confirmed his death. https://t.co/ZEE4MMOEI8"
