,Date Created,Tweets
0,2023-02-11 13:50:28+00:00,"There was reportedly a Russian naval drone attack on a railway bridge in Odessa Oblast yesterday. 
https://t.co/HhezOTklS7 https://t.co/NMUiNE2L32"
1,2023-02-11 13:42:07+00:00,"Video of a Russian LMUR missile strike on a smokestack in Vuhledar where they say Ukraine had placed surveillance systems and counter-battery radar. 46/
https://t.co/mB9uPul2sG https://t.co/OvXyiEYTG0"
2,2023-02-11 13:29:54+00:00,It also says that Rustam Muradov is stopping soldiers from wearing multicam uniforms but hasn't learned any lessons from the costly storming of Pavlivka in November. 5/
3,2023-02-11 13:21:52+00:00,"The post also says that UR-77 are not that effective and there are instances when they don't detonate properly. He says mine rollers are most effective, but that tankers don't like using them and that there were abandoned rollers on most streets in Popasna over the summer. 4/"
4,2023-02-11 13:12:35+00:00,"23/
https://t.co/4JXahqAOnD"
5,2023-02-11 13:11:25+00:00,"Other photos show AT2 DM1399 mines. 3/
https://t.co/pN3Abyeyes https://t.co/emRatzfMgk"
6,2023-02-11 13:03:54+00:00,"The RSOTM channel also posted photos of scatterable mines that Ukraine has been using, which appear to be RAAM. 2/
https://t.co/yFLf5ynSDk https://t.co/xJSPjSB5Ea"
7,2023-02-11 12:57:28+00:00,A Lost Armour moderator says that the failed assault in Vuhledar (captured on video) was due to Remote Anti-Armor Mine (RAAM) launched by Ukrainian 155mm howitzers on a corridor that had been cleared of mines. The vehicles either hit these mines of the TM-62 out of the corridor.
8,2023-02-11 12:47:00+00:00,"Video from Ukraine’s 128th Mountain Assault Brigade taken by a Leleka-100 UAV of artillery strikes on a Russian column. 
https://t.co/ZtzQZ6NvVP https://t.co/CMlheT7Ipd"
9,2023-02-11 12:40:01+00:00,"Video of a UAV operated by SBU Alpha dropping a munition on a Russian BMP. 
https://t.co/RcrxN08PZx https://t.co/zZ068J8FWT"
10,2023-02-11 12:18:20+00:00,@HollyBell8 Well this is like 50 meters in front of their position.
11,2023-02-11 12:15:08+00:00,Close up of the tank. https://t.co/E59zwCdtU7
12,2023-02-11 12:12:03+00:00,"Video of a Russian T-80BVM tank that was damaged by an anti-tank mine during a failed assault on Ukrainian positions.
https://t.co/TG9T6s34N7 https://t.co/LCXlDpkhKk"
13,2023-02-11 11:43:11+00:00,"22/
https://t.co/7KduILAPXg"
14,2023-02-11 11:42:47+00:00,He says that competition with Wagner is influencing the decision by the military to also try to advance as well as a need to satisfy public sentiment.
15,2023-02-11 11:37:14+00:00,"Khodakovsky says that Russia should continue a defensive posture while building up forces necessary for a full-scale offensive, which they currently lack. He says that decisions (i.e. Vuhledar) are influenced by politics, and not just military factors.
https://t.co/OBNI80XIZc https://t.co/yuRLkpVXWT"
16,2023-02-11 10:51:05+00:00,"Video showing 3 or 4 Russian Msta-S howitzers struck by Ukrainian artillery, presumably with Excalibur rounds. 
https://t.co/KrEhr7j47k https://t.co/wGeP6l5wZ4"
17,2023-02-11 10:16:28+00:00,"@JaakkoKaartinen They've been using them for months, but they need to conserve them for future offensives."
18,2023-02-11 10:07:46+00:00,"2/
https://t.co/kCZ7qpRV0r"
19,2023-02-11 10:07:33+00:00,@Arvelleg1 @GirkinGirkin @GeoConfirmed Thank you.
20,2023-02-11 10:04:14+00:00,"Two Russian tanks and a possible UR-77 MICLIC were destroyed by Ukraine's 72nd Mechanized Brigade.
https://t.co/Bt6EAKNNWw https://t.co/gPPghTdt4j"
21,2023-02-11 09:26:26+00:00,"Artillery strikes by Ukraine's 45th Artillery Brigade on a Russian Msta-B, BMP, and D-20 likely with Excalibur rounds.
https://t.co/jRTmxNE1dM https://t.co/DOhJcnLqSp"
22,2023-02-11 09:12:18+00:00,"Another video from Vuhledar. Some of the footage was previously seen. 21/
https://t.co/5O1MqY9bKr https://t.co/sQVuhiOxE8"
23,2023-02-11 09:06:18+00:00,"20/
https://t.co/c2iz6uNclO"
24,2023-02-11 01:56:46+00:00,"4614/
https://t.co/Yplg3cMrKY"
25,2023-02-11 00:47:11+00:00,4613/
