,Date Created,Tweets
0,2023-02-11 18:27:21+00:00,@LCI Ce voyou de Zélensky en profitait gratuitement pour faire la guerre. Comme cela peut être qu'il y aura un armistice et que cesseront de mourir des jeunes gens qui n'ont aucune raison de se faire tuer. A t-on tant d'Européens que ça?Etait -il si difficile de faire un Etat fédéral?
1,2023-02-11 18:27:21+00:00,"@Gerashchenko_en Thank you for sharing Stone &amp; Stas &amp; Ukrainian soldiers took Stas’s family to safety. ❤️ Stas is so adorable &amp; loves his godfather, Stone loves him too. @NATO @DeptofDefense @VP @POTUS"
2,2023-02-11 18:27:20+00:00,"@dudemanbro369 @Jano14Toga For the first time in years, the 101st have been deployed and are waiting in Romania. We also have have troops in Poland. Once NATO, US is in it this thing is over, so Russia needs to quit."
3,2023-02-11 18:27:19+00:00,@rotthoris @CarloMasala1 Könntest du mir bitte deinen Putin-Fetisch erklären?
4,2023-02-11 18:27:19+00:00,@ok_ukraine Приятные воспоминания о прогулках с Шойгой😂🤣😅
5,2023-02-11 18:27:19+00:00,@GonzaloLira1968 THIS IS CALLED AN ACT OF WAR AGAINST EUROPE AND RUSSIA ...PROBLEM IS..WHY ARE THERE NO SANCTIONS IMPLEMENTED AGAINST THE USA AND WHY ARE THERE NOT OFFICIAL ALLEGATIONS?
6,2023-02-11 18:27:19+00:00,@insanepplrreal2 @gsd7373 @Snl29816855 @fezzytron @greg_pissed @StephenKing I know three women raised in Israel and serve in military. Many Russian/ Ukraine as well os other nationalities that are made a profession for themselves. They support opposite of you with lots of experence in world and more knowledge and can see because they were not brainwashed
7,2023-02-11 18:27:19+00:00,@JillianOhana @blu_kryptonian @LongAsUCan2 @StringwallApp @Loveon999 @dianesbaker1 @loonyberg @traci_warhurst @carrybeyond @StandForSomet10 @1D_Nasty @gregolear @LincolnsBible @myrubypearl GOP is party of fascism. They've been on that road since they adopted  #KochPlatformof1980 They gained their power thru election fraud &amp; voter suppression thru many very creative channels.Ex AL SOS caught trying to change images on voting machines in Doug Jones elctn. 1/
8,2023-02-11 18:27:18+00:00,New story on NPR: An uncrewed Russian spacecraft docked at the space station loses cabin pressure https://t.co/EeUnpPfrBF
9,2023-02-11 18:27:18+00:00,"@al1roques @arnoklarsfeld comment-zelensky-a-fait-la-paix-avec-les-paramilitaires-neonazis/

https://t.co/7D6TUbALfa"
10,2023-02-11 18:27:18+00:00,@DefenceU @ZelenskyyUa @derspiegel There is no such thing as a dragon! Putin is a rabid grizzly bear who stepped in a bucket of nails!
11,2023-02-11 18:27:18+00:00,"@vooreesxbt @squatsons @Nordic_Wookie Sanctions were imposed upon RU back then as well, but they were incredibly weak and lifted very quickly. This is actually part of the reason why Putin was emboldened to invade UA in 2022, thinking that yet again the west won't care and they can do what they want."
12,2023-02-11 18:27:17+00:00,"I'm half Russian, so I'm part slavalavadingdong"
13,2023-02-11 18:27:17+00:00,"@northerly_ @DoctorGerhard I have no problem with Zelinsky buying Epstein Island &amp; making it a refuge for unwanted stray NAFO dogs, Nato pigs &amp; Neo-nazi's. He is welcome to that kingdom. Exiled from the Ukrainian mothers &amp; fathers seeking Atonement for their missing sons, daughters &amp; children. 666.333 MIA."
14,2023-02-11 18:27:17+00:00,"@BostonInSouth @RepMTG Obviously you don't actually do your OWN RESEARCH. zelensky is an accolade of Klaus swaub. Whose organization has stated by 2030, you'll have no privacy, own nothing and never been happier. Or that China is the model all governments should look to."
15,2023-02-11 18:27:17+00:00,"@GilletteLucy @NotABot__1234 @Trollstoy88 Ha ha your a lost cause.
By your standards if you don't follow MSM your uninformed 
Problem is If you do follow MSM your misinformed!
Get out there and Google "" ukraine"" ""zelensky "" etc and see what your beloved MSM had to say about them prior to February 2022
Different story!"
16,2023-02-11 18:27:17+00:00,"Ukraine footage : in Bakhmut
#Ukraine #Bakhmut #Donbas #UkraineRussiaWar #
https://t.co/c7T1nvEukd"
17,2023-02-11 18:27:17+00:00,"@viktor_csanyi @Sturgeon1Actual @WarMonitors Hahahahaha, canibalized for spares? where you got that news? from the ukro spokesperson? maybe nato bullshit makers? wth, yeah things take time and sometimes it hit snags and money lacks, but i wonder what new tanks ukraine are making, or even the west, that barely have 20% of RF"
18,2023-02-11 18:27:16+00:00,@reshetz When evil is attacking you normal acts become defiance. Glad you passed! 🤗
19,2023-02-11 18:27:16+00:00,@sascha_m_k Falsch !!!! Putin wird gewinnen
20,2023-02-11 18:27:16+00:00,@yurskiy_fella Чого блять
21,2023-02-11 18:27:16+00:00,"@Tataqonline @lm_nash123 @wallacemick In other words you suggest Ukraine lay dotheir arms and let Putin’ regime subjugate the Independent Nation of Ukraine and anslave its people. 
Oh, good one."
22,2023-02-11 18:27:16+00:00,"@EmmanuelMacron Tu es et resteras ennemis d Kongolais à jamais,tes complices la FranceUSAcanadaAngleterreAllemagneBelgiqueUESuedeONU en sont de même,tu penses faire le bon jeu avc l'Ukraine,pendant que tu commandites les tueries à répétit° à l'Est de mon pays, tu en auras pr ton compte,Ingeta 🇨🇩"
23,2023-02-11 18:27:16+00:00,I don't know if there is a Russian version of @uspirg but they need @teresamurray over there right now. 🤣🤣 https://t.co/oGzEG8ALjn
24,2023-02-11 18:27:16+00:00,"@Q8565dbqkgBaez @Maks_NAFO_FELLA U can't talk about credibility when our government is openly supporting an extremist ideology in Ukraine. Google who Stepan Bandera is, and you'll know what I'm referring to. https://t.co/7m30GziYhx"
25,2023-02-11 18:27:15+00:00,@Omerta_officiel Merci d'envoyer votre RIB sur votre espace adhérent sur le site du Kremlin pour votre versement de ce mois-ci.
