,,destroyed:,damaged:,abandoned:,captured:
detail russe 2023-02-11 19-25-55.482177,Tanks ,1008,79,85,546
detail russe 2023-02-11 19-25-55.482177,Armoured Fighting Vehicles ,483,12,27,258
detail russe 2023-02-11 19-25-55.482177,Infantry Fighting Vehicles ,1290,60,107,596
detail russe 2023-02-11 19-25-55.482177,Armoured Personnel Carriers ,182,5,12,96
detail russe 2023-02-11 19-25-55.482177,Mine-Resistant Ambush Protected ,29,4,1,10
detail russe 2023-02-11 19-25-55.482177,Infantry Mobility Vehicles ,122,3,1,50
detail russe 2023-02-11 19-25-55.482177,Command Posts And Communications Stations ,139,3,0,89
detail russe 2023-02-11 19-25-55.482177,Engineering Vehicles And Equipment ,123,5,39,108
detail russe 2023-02-11 19-25-55.482177,Self-Propelled Anti-Tank Missile Systems ,12,4,0,19
detail russe 2023-02-11 19-25-55.482177,Artillery Support Vehicles And Equipment ,40,2,0,49
detail russe 2023-02-11 19-25-55.482177,Towed Artillery ,62,7,5,93
detail russe 2023-02-11 19-25-55.482177,Self-Propelled Artillery ,218,12,7,105
detail russe 2023-02-11 19-25-55.482177,Multiple Rocket Launchers ,116,3,2,50
detail russe 2023-02-11 19-25-55.482177,Anti-Aircraft Guns ,3,0,0,13
detail russe 2023-02-11 19-25-55.482177,Self-Propelled Anti-Aircraft Guns ,12,3,0,8
detail russe 2023-02-11 19-25-55.482177,Surface-To-Air Missile Systems ,62,4,5,23
detail russe 2023-02-11 19-25-55.482177,Radars ,13,1,0,9
detail russe 2023-02-11 19-25-55.482177,Jammers And Deception Systems ,14,2,0,7
detail russe 2023-02-11 19-25-55.482177,Aircraft ,65,0,0,6
detail russe 2023-02-11 19-25-55.482177,Helicopters ,66,10,0,1
detail russe 2023-02-11 19-25-55.482177,Unmanned Combat Aerial Vehicles ,6,0,0,1
detail russe 2023-02-11 19-25-55.482177,Unmanned Aerial Vehicles ,94,0,0,90
detail russe 2023-02-11 19-25-55.482177,Naval Ships ,8,0,0,4
detail russe 2023-02-11 19-25-55.482177,"Trucks, Vehicles and Jeeps ",1640,35,49,545
detail ukraine 2023-02-11 19-25-55.482177,Tanks ,271,27,17,142
detail ukraine 2023-02-11 19-25-55.482177,Armoured Fighting Vehicles ,179,3,5,76
detail ukraine 2023-02-11 19-25-55.482177,Infantry Fighting Vehicles ,338,11,27,102
detail ukraine 2023-02-11 19-25-55.482177,Armoured Personnel Carriers ,122,11,8,86
detail ukraine 2023-02-11 19-25-55.482177,Mine-Resistant Ambush Protected ,24,7,5,5
detail ukraine 2023-02-11 19-25-55.482177,Infantry Mobility Vehicles ,142,13,3,117
detail ukraine 2023-02-11 19-25-55.482177,Command Posts And Communications Stations ,5,0,0,3
detail ukraine 2023-02-11 19-25-55.482177,Engineering Vehicles And Equipment ,20,0,0,22
detail ukraine 2023-02-11 19-25-55.482177,Self-Propelled Anti-Tank Missile Systems ,8,1,0,12
detail ukraine 2023-02-11 19-25-55.482177,Artillery Support Vehicles And Equipment ,10,0,0,12
detail ukraine 2023-02-11 19-25-55.482177,Towed Artillery ,61,17,3,17
detail ukraine 2023-02-11 19-25-55.482177,Self-Propelled Artillery ,67,17,0,27
detail ukraine 2023-02-11 19-25-55.482177,Multiple Rocket Launchers ,26,2,0,8
detail ukraine 2023-02-11 19-25-55.482177,Anti-Aircraft Guns ,0,0,0,4
detail ukraine 2023-02-11 19-25-55.482177,Self-Propelled Anti-Aircraft Guns ,1,1,0,3
detail ukraine 2023-02-11 19-25-55.482177,Surface-To-Air Missile Systems ,77,3,1,7
detail ukraine 2023-02-11 19-25-55.482177,Radars ,31,5,1,11
detail ukraine 2023-02-11 19-25-55.482177,Jammers And Deception Systems ,0,0,0,1
detail ukraine 2023-02-11 19-25-55.482177,Aircraft ,56,0,0,1
detail ukraine 2023-02-11 19-25-55.482177,Helicopters ,25,1,0,3
detail ukraine 2023-02-11 19-25-55.482177,Unmanned Combat Aerial Vehicles ,0,0,0,15
detail ukraine 2023-02-11 19-25-55.482177,Unmanned Aerial Vehicles ,31,0,0,29
detail ukraine 2023-02-11 19-25-55.482177,Naval Ships ,8,1,0,16
detail ukraine 2023-02-11 19-25-55.482177,"Trucks, Vehicles and Jeeps ",328,15,4,167
