,,0
type russe 2023-02-11 19-25-55.482177,0,BRM-1K reconnaissance vehicle
type russe 2023-02-11 19-25-55.482177,1, 361 MT-LB
type russe 2023-02-11 19-25-55.482177,2,156 MT-LBVM and MT-LBVMK
type russe 2023-02-11 19-25-55.482177,3,22 MT-LB with ZU-23 AA gun
type russe 2023-02-11 19-25-55.482177,4, 16 MT-LBu
type russe 2023-02-11 19-25-55.482177,5, 1 Vityaz DT-10PM articulated tracked carrier
type russe 2023-02-11 19-25-55.482177,6, 3 Vityaz DT-30 articulated tracked carrier
type russe 2023-02-11 19-25-55.482177,7, 2 GAZ-3344-20 'Aleut' articulated tracked carrier
type russe 2023-02-11 19-25-55.482177,8, 1 2S1 with ZU-23 AA gun
type russe 2023-02-11 19-25-55.482177,9, 21 BMP-1AM
type russe 2023-02-11 19-25-55.482177,10,102 Unknown BMP-1/2
type russe 2023-02-11 19-25-55.482177,11, 226 BMP-3
type russe 2023-02-11 19-25-55.482177,12,3 BMO-T
type russe 2023-02-11 19-25-55.482177,13, 192 BMD-2
type russe 2023-02-11 19-25-55.482177,14,65 BMD-4M
type russe 2023-02-11 19-25-55.482177,15,153 BTR-80
type russe 2023-02-11 19-25-55.482177,16, 14 BTR-MDM 'Rakushka'
type russe 2023-02-11 19-25-55.482177,17,8 K-53949 Typhoon-K
type russe 2023-02-11 19-25-55.482177,18,11 K-53949 Linza
type russe 2023-02-11 19-25-55.482177,19,124 GAZ Tigr-M
type russe 2023-02-11 19-25-55.482177,20,9 BMP-1KSh command and staff vehicle
type russe 2023-02-11 19-25-55.482177,21,12 BMD-1KSh-A command vehicle
type russe 2023-02-11 19-25-55.482177,22, 5 R-145BM1 command vehicle
type russe 2023-02-11 19-25-55.482177,23,74 R-149MA1 command and staff vehicle
type russe 2023-02-11 19-25-55.482177,24,37 R-149MA3 command and staff vehicle
type russe 2023-02-11 19-25-55.482177,25, 4 APE-5 command post
type russe 2023-02-11 19-25-55.482177,26,12 R-149AKSh-1 command and signals vehicle
type russe 2023-02-11 19-25-55.482177,27, 23 R-166-0.5 signals vehicle
type russe 2023-02-11 19-25-55.482177,28, 1 UR-67 mine clearing charge on BTR-D APC
type russe 2023-02-11 19-25-55.482177,29, 27 UR-77 'Meteorit'  mine clearing vehicle
type russe 2023-02-11 19-25-55.482177,30, 3 GMZ-3 minelayer
type russe 2023-02-11 19-25-55.482177,31,4 RKhM-6 Povozka
type russe 2023-02-11 19-25-55.482177,32, 6 BAT-2 heavy engineering vehicle
type russe 2023-02-11 19-25-55.482177,33, 1 BTS-4A armoured recovery vehicle
type russe 2023-02-11 19-25-55.482177,34,25 BREM-1 armoured recovery vehicle
type russe 2023-02-11 19-25-55.482177,35, 1 BREM-2 armoured recovery vehicle
type russe 2023-02-11 19-25-55.482177,36, 3 BREM-K armoured recovery vehicle
type russe 2023-02-11 19-25-55.482177,37,8 REM-KL recovery vehicle
type russe 2023-02-11 19-25-55.482177,38,3 MTP-A2.1 recovery vehicle
type russe 2023-02-11 19-25-55.482177,39, 2 Ural-4320 KET-L recovery vehicle
type russe 2023-02-11 19-25-55.482177,40, 5 Ural-4320 KT-L recovery vehicle
type russe 2023-02-11 19-25-55.482177,41, 1 IMR-3M combat engineering vehicle
