,Date Created,Tweets
0,2023-02-10 23:19:46+00:00,"In this intercepted call, a Russian serviceman tells a friend about the impenetrable fortifications of the Ukrainian army in Lyman area: ""they have an underground city, we can't penetrate them"" https://t.co/2h9jfDTuvA"
1,2023-02-05 09:22:06+00:00,"A Russian woman is surprised that her occupier partner was killing children, as evidenced from this intercepted call. The man does not appear remorseful at all, however,.She is also unable to understand why other nations might help Ukraine because it's the right thing to do. https://t.co/xK55XlpKZr"
2,2023-02-04 00:23:55+00:00,"Selection of Russian intercepted calls from the past week or so.

1. A Russian woman tells her ""defender"" son about the union of mothers, where all mothers grieve over the losses of their sons, and try to achieve justice with the Russian authorities. https://t.co/ff2j4RQ5FZ"
3,2023-01-25 09:50:02+00:00,"GUR publishes a short intercepted call indicating that Russians issues an order to strictly conserve their ammunition ""at all positions"". Unfortunately, no additional context is provided. https://t.co/dAIgytr0Jm"
4,2023-01-22 21:16:54+00:00,Russian soldier confirms details of Makiivka New Year strike in this intercepted call. He names reasons for such high casualties saying no one cared for the mobilised placed in the old school. https://t.co/7Ys2vu6gEm
5,2023-01-22 11:12:51+00:00,"A thread with the intercepted calls for this week.

1. Mordovian man says the newly formed mobilised unit in Ulyanovsk has thirty wounded before even reaching Ukraine due to drunken fights, overdoses, and frostbites. https://t.co/TTGoANBiaI"
6,2023-01-09 20:15:25+00:00,"In this intercepted call published by the SBU, a Russian soldier admits to crimes against civilians during the retreat from Lyman. Answering his friend's question about the presence of young women, he says there are none since all were killed by retreating Rus. army. https://t.co/AGtRRZPWnq"
7,2023-01-02 20:33:35+00:00,"In this intercepted call, a Russian mobilised soldier tells about the lack of proper equipment provided to him - you wear what you yourself can find. Moreover, you can even buy a gun for just two cartons of cigarettes. https://t.co/lsmLKUo43v"
8,2022-12-28 20:38:41+00:00,"In this intercepted call, a Russian mobilised soldier tells his friend how 17 people were killed by a tank friendly fire. He hints at the lack of organisation due to the fact that only the mobilised men are in his unit. https://t.co/BreXFnzolH"
9,2022-12-26 19:36:21+00:00,"In this intercepted call, a Russian soldier describes how his commanders are afraid of going out of trenches, how a captured Russian tank is now firing back at them, and more. https://t.co/GpzCML53YZ"
10,2022-12-25 18:02:10+00:00,"In this intercepted call, the wife of a mobilised Russian soldier says how she wants to write an appeal to Putin to sort out the payments and equipment, to which the soldier says there is no need as Putin ""doesn't give a f*ck"". https://t.co/rwR2PMXRGD"
11,2022-12-23 17:05:09+00:00,"This intercepted call presents evidence for the intensification of disciplinary measures among the Russian troops, namely shooting for being caught drunk or on drugs. The location and the military unit discussed in the call are not specified, except for ""25th Brigade"". https://t.co/j8LcYT5v9F"
12,2022-12-23 11:12:06+00:00,"This intercepted call reveals frantic attempts by the mobilised Russian soldier to get out of Ukraine: his wife is trying to get him out via the court route, meanwhile, he's attempting to break his own arm, unsuccessfully. https://t.co/8BkLlrQk0m"
13,2022-12-21 12:31:05+00:00,"In this intercepted call, a Russian soldier tells his mother about tank friendly fire that killed 20 newly arrived soldiers. At first, she damns the Russian command but then expresses her shock at the shelling of border Russian cities. https://t.co/1wWU8fYJMC"
14,2022-12-17 10:35:49+00:00,"In this intercepted call, the Russian woman tells his husband about what is done to those soldiers who lay down weapons: they're gathered up into separate units and sent to the very frontline, into the ""meat grinder"". The man is looking for ways to get out as soon as possible. https://t.co/8AIK2nTEyQ"
15,2022-12-15 17:42:58+00:00,"In this intercepted call, the Russian mobilised soldier in the Donetsk area is talking to his father, expressing his concern about the intensity of battles. https://t.co/xe06kaMQQH"
16,2022-12-15 13:27:15+00:00,"Russian mobiks are having hard life on the Eastern front, as evidenced by this intercepted call. A panicked Russian soldier tells how mobiks are sent on suicide missions, while their officers run away. https://t.co/BNWqhLaHsM"
17,2022-12-12 17:25:16+00:00,"In this intercepted call, a Russian man describes the poor state of food supply in his unit, and how they had to slaughter a cow. His wife responds by saying not to take from locals as you can easily get poisoned. https://t.co/AJCrzNdhrz"
18,2022-12-11 16:38:39+00:00,"In this intercepted call, the wife of a mobilised soldier tells how several ex-wives of one man all came to claim the benefits awarded to children of mobilised men.

The man mentions his location to be Kherson but he could be lying (IMO more likely), or it's an older call. https://t.co/QF5IRnCt4o"
19,2022-12-09 10:07:00+00:00,"In this intercepted call, the Russian mobilised soldier discusses with his friends the new wave of mobilisation, telling them to start packing their bags, but they are not very keen. https://t.co/nytriESX3i"
20,2022-12-08 20:30:00+00:00,"In this intercepted call, the Russian serviceman tells about the lack of perspectives of staying in Ukraine and the difficulties of returning back home. https://t.co/hwN5qBuqdy"
21,2022-12-07 18:17:54+00:00,"In this intercepted call, the Russian mobilised soldier in Donetsk area tells his mother about large losses and a constant drinking problem in his unit. https://t.co/MPmzup1PPM"
22,2022-12-06 21:18:30+00:00,"In this intercepted call, the Russian soldier in Donetsk region tells his mother about mass deserting from the unit, poor supply, and his own desire to leave as soon as possible. https://t.co/c8ye3rKUGK"
23,2022-12-03 19:07:22+00:00,"In this intercepted call, wife of a moblised soldier tells about suspicious death causes assigned to deceased mobiks coming back home: ""Fell asleep and didn't wake up"". He agrees and adds many didn't even leave the training camps due to being stabbed or sexually assaulted. https://t.co/OAFJxLZSEZ"
24,2022-12-02 13:45:17+00:00,"In this intercepted call, Russian soldier tells his wife about his visit to the hospital, where he was sent back to his position. She mentions another wave of mobilisation after the NY which, in her opinion, will see Putin mobilising all the Russians until he kills all of them. https://t.co/4eF6oL2Pxa"
25,2022-12-01 15:29:34+00:00,"In this intercepted call, Russian soldier explains how Vladimir governor returned mobilised men from the frontline after their wives started a riot. He also tells about cases of Russians randomly shooting each other in their backs. https://t.co/8Gk5Eab2z2"
