,Date Created,Tweets
0,2023-02-09 15:59:47+00:00,"A man that looks like Putin once again declares he didn't start the war in the Donbas, it was all the nationalists, and Girkin and other Russian citizens who were present in Ukraine in 2014 have absolutely nothing to do with this. https://t.co/B5rGcgPiwD"
1,2023-02-09 10:49:07+00:00,"Girkin believes that with Wagner terminating recruitment, its days are basically numbered. But given the state of the Russian armed forces, there will be no one to replace the death battalions who were the only ones to achieve any success in recent months. https://t.co/021FFgQzJe"
2,2023-02-08 21:17:25+00:00,What Vuhledar looks like today + footage of a complete demolition of two Russian tank companies that advanced on the city (Girkin mentioned this in his summary today). https://t.co/fG4iRJKXIh
3,2023-02-08 17:45:31+00:00,"Girkin's analysis of the past two days shows no changes in the Donetsk frontline, Bakhmut still firmly under control of the Ukrainian Armed Forces. 
Recent Russian attack on Vuhledar resulted in high casualties for the attacker and no success. Some other info on other directions. https://t.co/rStXP4LVmv"
4,2023-02-05 10:14:32+00:00,"Girkin went on a sad rant again yesterday about the poor state of Russian communication, aviation, and supply. More so, believes that Russia is not ready for a major offensive, and if it's daft enough to try it, it can turn out worse than the Kyiv de-escalation. https://t.co/AyLajtj6Ry"
5,2023-02-03 09:31:01+00:00,"According to Girkin's today's update, the Russians were unable to prevent Ukrainian reinforcements to Bakhmut, indicating Ukrainian resolve to hold the city. Other areas like Mar'inka, Avdiivka, Vuhledar - are under Ukrainian control.

https://t.co/C302y2S5oP https://t.co/re0wZrQXq2"
6,2023-01-30 09:15:43+00:00,"Girkin's update this morning indicates that Russians are not seeing any major success in Vuhledar - the city is heavily defended, and attacking it is very disadvantageous for Wagner. Same with the south of Avdiivka, Russian advance is stalling.

https://t.co/HHrAaNJWFh https://t.co/hRE2foymwe"
7,2023-01-30 08:36:41+00:00,"Nevertheless, Girkin/Strelkov is associated with FSB and Wagner cannot afford an actual conflict with FSB."
8,2023-01-30 08:36:40+00:00,"In an attempt to stay in power &amp; keep Wagner’s influence over Russian domestic politics, Prigozhin is trying to increase his status in Russia by critiquing Girkin and his loss of Slovyansk in 2014."
9,2023-01-30 08:36:40+00:00,"⚡️Prigozhin, Girkin &amp; internal Russian conflicts

Now that Prigozhin cannot confront General Gerasimov, he keeps attacking Grkin in an internal skirmish."
10,2023-01-28 12:41:16+00:00,"Prigozhyn continues humiliating Girkin: after several days of heated exchanges between two terrorists, today Prigozhyn gave an idea of how Girkin's service in the PMC will look like - he will go through hell and fire to prove his bravery, or else Prigozhyn will piss on his face. https://t.co/M4dUAN0Uvn"
11,2023-01-27 09:03:34+00:00,"⚡️ Prigozhin-Girkin clash:

Both exchanged aggressive public messages.
As Prigozhin is announced ""persona non grata"" everywhere, even in 🇷🇺 Russia, and has lost to Gerasimov, he has no choice but to increase the stakes and pick a fight."
12,2023-01-26 09:21:55+00:00,"Girkin, in an interview to https://t.co/fSHQvlfUbn, says the announced deliveries of tanks are just the beginning. He believes Ukraine will be able to form a brigade if not a tank army in the coming months, and that the Western tanks are superior to the Russian counterparts. https://t.co/XxrduyRnM4"
13,2023-01-24 17:13:14+00:00,Girkin alleges that Ukrainian armed forces attempted a reconnaissance operation at Nova Kakhovka (left bank of Dnieper) indicating the potential for a larger-scale landing. https://t.co/u6Mb8a1MFv
14,2023-01-22 12:05:42+00:00,Girkin does not think highly of a successful Russian offensive in the coming future unless done by small motivated units such as Wagner on limited sectors of the frontline. He believes Russian forces have no superiority over Ukraine to achieve success anywhere due to low morale https://t.co/3EIK8Z8lCt
15,2023-01-21 08:35:14+00:00,"Follow now and don't miss my updatese, I'm also now on:
Telegram: https://t.co/VeynunSh6f
Instagram: https://t.co/KqQXWcg7Di
YouTube: https://t.co/OFIz46r5I8"
16,2023-01-20 19:46:09+00:00,"Girkin claims that Russians began moving forward in the Zaporizhzhia direction, this is echoed by other Russian sources announcing ""It began!"" throughout today. Afaik no official statements by the Ukrainian side. Girkin does not believe that this advance will have success. https://t.co/59yym7hXy0"
17,2023-01-19 13:29:34+00:00,"Update from Soledar/Bakhmut, 19 January: all successes the Russians are having are only on Telegram and TikTok - Kiyanyn. https://t.co/llRBu5d6bT"
18,2023-01-18 23:52:39+00:00,"Girkin threw another hissy fit today, a long read: claims Russia needs to build up several armies, mass retraining asap to avoid (almost) inevitable defeat. Does not expect Ukraine to start an advance until April, by which time the West will send even more weapons 🤡 https://t.co/i8cTVv44iz"
19,2023-01-18 14:08:59+00:00,"⚡️ Girkin: So far, there is no discussion even about the capture of Bakhmut, because the battles for this city continue. And it has been under siege for a long time. Therefore, to say that ""we will soon go to Sloviansk"" can only be corrected: ""relatively soon."""
